" todo empezo en una noche de mayo  cuando el alcohol hizo que rozaras mis labios 8
",1
" no quiero saber lo que habr  pensado de m  la cajera cuando ha visto la locura de alcohol que me llevaba
",1
" courtneyjeppson you know the guy from glee he died from heroin and alcohol he didnt mean to kill himself either he was going to rehab
",1
" rt  niaiisunshines  when marcel drank the alcohol i died http   t co prjzczvtti
",1
" rt  _harrysbananas  when marcel tried the alcohol omfg ksjfsdgjnfld hkmdfj http   t co xjlay64dhp
",1
" se me antojo una cerveza y nada    ya se me est n durmiendo los cachetes  jajajaja  el alcohol no es para mi  neta perd n
",1
" niaiisunshines  when marcel drank the alcohol i died http   t co 3hoac5mbtz  me too
",1
" en defensa del alcohol debo decir que tom  peores decisiones estando sobrio
",1
" rt  angelniall  trying alcohol for the first time http   t co az4hk92qdb
",1
" rt  hosie_  alcohol u did me dirty http   t co mtn6mp1dfb
",2
" being able to talk to my manager about boys and alcohol gt  gt  gt  gt
",1
" giving up drinking  the word alcohol  yuck
",1
" rt  natalialombard1  when the bill come out to 175  more than half was on alcohol     miamiprobs
",2
" 80party  party  awesomeness  citylife  ohshit  alcohol  drinking  smile http   t co tq6pgur2qn
",1
" i hate how we idolize celebrities deaths even when it s because of drug and alcohol  if a drug addict dies of it it s no big deal tho
",2
" llegan a chile espumantes sin alcohol http   t co ewobfmqo8t v a  curicanodiario
",0
" rt  sororityproblem  pippa s gonna be the cool  crazy aunt who sneaks him alcohol for the first time at a family dinner
",0
" samantha_m3 we have enough alcohol and balloons left over to throw a party   just saying
",0
" i think alcohol is still in my system
",0
" rt  sweetg35  in alcohol s defense   i ve done some pretty dumb shit while completely sober too
",0
" rt  sororityproblem  pippa s gonna be the cool  crazy aunt who sneaks him alcohol for the first time at a family dinner
",0
" hosie_  alcohol u did me dirty http   t co df08itcvf7  damn
",2
" rt  hosie_  alcohol u did me dirty http   t co mtn6mp1dfb
",2
" rt  lurie_john  the judge was hypnotized by alcohol   art  painting  herniaoperations http   t co lznd4mkpyc
",0
" rt  austinhoodrich  she taste like cigarettes and alcohol  up all night on adderall
",0
" fraancelina efectos del alcohol  borrachita
",1
" leanoru  kanjirottu i raided chloe s tent on the last day am took all her alcohol and drank it for breakfast coz they left it there
",2
" rt  jazzzzzmina  not to brag  but i don t even need alcohol to make really bad decisions
",0
" wizardofcause  johncusack i think i played pool with him once  in a little bar in coronado  alcohol was present so mightve been his friend
",2
" rt  sororityproblem  pippa s gonna be the cool  crazy aunt who sneaks him alcohol for the first time at a family dinner
",0
" ajs3677  jmanasso it was heroin and alcohol in his case  so it was pretty serious
",0
" rt  angelniall  trying alcohol for the first time http   t co az4hk92qdb
",1
" rt  niaiisunshines  when marcel drank the alcohol i died http   t co prjzczvtti
",1
" don t eat too much  drink alcohol  or smoke anything  leicester  i don t trust these magic types   novellines http   t co ai7d3tkhzf
",0
" they even serve their alcohol in teapots   london  donteverchange
",0
" rt  omfgcodysimpson   home alone  normal teenagers   yeah  drugs  sex  amp  alcohol bitches   me   hey neighbours  are you ready for some miley
",1
" sororityproblem  pippa s  gonna be the cool crazy aunt who sneaks him alcohol for the first time at a family dinner   veronica  nicki_c16
",0
" bakerruthie   alcohol is alright in it s place  but it s place is in hell
",0
" rt  sororityproblem  pippa s gonna be the cool  crazy aunt who sneaks him alcohol for the first time at a family dinner
",0
